"ItemId","ItemCode","ItemName","ImageKey","SourceUrl","ImageIndex","MatchRule"
"1","SF-18801500-C","Stretch Film 18""X80gX1500F Clear RHINO 72cs/plt 4rls/Case","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"2","SF-18801000-C","Stretch Film 18'x80gx1000F Clear RHINO 90cs/plt 4rls/Case","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"3","SF-18701500-C","Stretch Film 18'x70gx1500 Clear RHINO 72cs/plt 4rls/Case","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"4","SF-18701000-C","Stretch Film 18'x70gX1000F RHINO 90cs/plt Clear 4rls/Case","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"5","SF-18801500-C-P","Stretch Film 18'x80gx1500F Clear Plain 72cs/Case 4rls/Case","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"6","SF-18801000-C-P","Stretch Film 18'x80gx1000F ClearPlain 90cs/plt Clear 4rls/Case","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"7","SF-18701500-C-P","Stretch film 18""x70gx1500ft Clear plain 4 rolls/Case 72 Case/plt","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"8","SF-20705000-C","Machine Film 20""x70gx5000ft 40rls/pltClear","stretch_machine","https://guspackaging.com/uploads/202210/20/9xmWa9CpxytHzTL_eLj_.png","101","Machine stretch film image"
"9","SF-18801500-B","Stretch Film 18'X80gX1500F BLACK RHINO 4rls/Case 72cs/plt","stretch_skid","https://guspackaging.com/uploads/202210/21/OHt6osI4AOhWoapqFDV5.png","101","Stretch film skid image for black/stretch variants"
"10","SF-18801000-B","Stretch Film 18'x80gX1000F BLACK RHINO 90cs/plt","stretch_skid","https://guspackaging.com/uploads/202210/21/OHt6osI4AOhWoapqFDV5.png","101","Stretch film skid image for black/stretch variants"
"11","SF-18801500-B-P","Stretch Film 18'x80gx1500F Black Plain 4 rls/Case 72cs/plt","stretch_skid","https://guspackaging.com/uploads/202210/21/OHt6osI4AOhWoapqFDV5.png","101","Stretch film skid image for black/stretch variants"
"12","SF-18801000-B-P","Stretch Film 18'x80gx1000F Black Plain 90cs/plt","stretch_skid","https://guspackaging.com/uploads/202210/21/OHt6osI4AOhWoapqFDV5.png","101","Stretch film skid image for black/stretch variants"
"13","SF-05801000C1-C","Stretch Film 5'x80gx1000F 1""CORE 84cs/plt Clear 12Roll/Case","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"14","SF-03801000C3","Stretch Film 3""x80x1000 3""core 120cs/plt","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
"15","SF-208001000C1-C","Machine Film 20""x80x1000 1""core 96cs/plt","stretch_machine","https://guspackaging.com/uploads/202210/20/9xmWa9CpxytHzTL_eLj_.png","101","Machine stretch film image"
"16","SF-18121500-C","Stretch Film 18'x12MICX1500 Clear RHINO 90cs/plt 4rls/Case","stretch_hand","https://guspackaging.com/uploads/202210/21/zIqNIRYFW8T1Wdwogs-6.png","101","Hand stretch film image"
